time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-03-04 13:44:28,51.2586219089704,-0.0459372822516535,0,Available with any HD 360 subscription,Available with any HD 360 subscription,524.71127532094,0,0,0,0,22,5,0,524.71127532094,0,0,0,0,0,0,266.1, 4.4, -4.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-90,0,99,4.137,4.149,4.157,0,0,0,0,70.7,524.71127532094,0,41,Motors_Started,
100,2025-03-04 13:44:28,51.2586218943855,-0.0459372843135841,0,,,524.71127532094,0,0,0.0053420933468,0.0053420933468,22,5,0,524.71127532094,0,0,0.0053420933468,0,0,0,266.1, 4.4, -4.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,0,70.7,524.71127532094,0,41,Motors_Started,
200,2025-03-04 13:44:28,51.258621916642,-0.0459374282655443,0,,,524.71127532094,0,0,0.033456037816,0.039198163984,22,5,0,524.71127532094,0,0,0.033456037816,0,0,0,266.1, 4.4, -4.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,0,70.7,524.71127532094,0,41,Motors_Started,"Aircraft in Altitude Zone (150 m). Fly with caution"
300,2025-03-04 13:44:28,51.2586219036119,-0.0459374445984433,0,,,524.71127532094,0,0,0.03711942376,0.045240158928,22,5,0,524.71127532094,0,0,0.03711942376,0,0,0,266.1, 4.4, -4.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,0,70.7,524.71127532094,0,41,Motors_Started,
400,2025-03-04 13:44:28,51.2586219232984,-0.0459374175760085,0,,,524.71127532094,0,0,0.0313370416852,0.054708991252,22,5,0,524.71127532094,0,0,0.03711942376,0,0,0,266.1, 4.4, -4.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,0,70.7,524.71127532094,0,41,Motors_Started,
500,2025-03-04 13:44:29,51.258621911352,-0.0459374306491728,0,,,524.71127532094,0,0,0.033894029956,0.05999179982,22,5,0,524.71127532094,0,0,0.03711942376,0,0,0,266.1, 4.4, -4.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,0,70.7,524.71127532094,0,41,Motors_Started,
600,2025-03-04 13:44:29,51.2586219267979,-0.0459374090750302,0,,,524.71127532094,0,0,0.02967847864,0.067476708196,22,5,0,524.71127532094,0,0,0.03711942376,0,0,0,266.1, 4.4, -4.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,0,70.7,524.71127532094,0,41,Motors_Started,
700,2025-03-04 13:44:29,51.2586219153784,-0.045937420194064,0,,,524.71127532094,0,0,0.031582350092,0.07235564536,22,5,0,524.71127532094,0,0,0.03711942376,0,0,0,266.1, 4.4, -4.4,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-90,0,99,4.137,4.149,4.157,0,0,0,0,70.7,524.71127532094,0,41,Motors_Started,"Setting new Return-To-Home altitude to 110m (361 ft). Data Recorder File Index is 38. Setting new Maximum Flight Altitude to 120m (394 ft)"
800,2025-03-04 13:44:29,51.2586219278088,-0.0459374015990318,0,,,524.71127532094,0,0,0.0281034129728,0.0785679159,22,5,0,524.71127532094,0,0,0.03711942376,0,0,0,266.1, 4.4, -4.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,0,70.7,524.71127532094,0,41,Motors_Started,
900,2025-03-04 13:44:29,51.2586219182097,-0.045937409251283,0,,,524.71127532094,0,0,0.0291924550024,0.08248195802,22,5,12.538,524.71127532094,0,0,0.03711942376,0,0,0,266.1, 4.3, -4.6,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,2.286,70.7,524.71127532094,0,41,Motors_Started,
1000,2025-03-04 13:44:29,51.2586219306101,-0.0459373928602024,0,,,524.71127532094,0,0,0.0264600402168,0.088353349284,22,5,12.538,524.71127532094,0,0,0.03711942376,0,0,0,266.1, 4.2, -4.7,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,2.286,70.7,524.71127532094,0,41,Motors_Started,
1100,2025-03-04 13:44:29,51.2586219198845,-0.0459373961986362,0,,,524.71127532094,0,0,0.0263199155404,0.092340226052,22,5,12.538,524.71127532094,0,0,0.03711942376,0,0,0,266.3, 4.4, -4.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-90,0,99,4.137,4.149,4.157,0,0,0,2.286,70.7,524.71127532094,0,41,Motors_Started,
1200,2025-03-04 13:44:29,51.258621921328,-0.0459373795098237,0,,,524.71127532094,0,0,0.0226595479692,0.096187010952,22,5,12.538,524.71127532094,0,0,0.03711942376,0,0,0,266.6, 4.5, -4.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-90,0,99,4.137,4.149,4.157,0,0,0,2.286,70.7,524.71127532094,0,41,Motors_Started,
1300,2025-03-04 13:44:29,51.2586219030893,-0.045937368671402,0,,,524.71127532094,0,0,0.019848097748,0.103286748712,22,5,12.538,524.71127532094,0,0,0.03711942376,0,0,0,266.9, 4.5, -4.4,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,2.286,70.7,524.71127532094,0,41,Motors_Started,
1400,2025-03-04 13:44:29,51.2586219127912,-0.0459373503758386,0,,,524.71127532094,0,0,0.0156167984,0.108761814504,22,5,12.538,524.71127532094,0,0,0.03711942376,0,0,0,267, 4.5, -4.4,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-90,0,99,4.137,4.149,4.157,0,0,0,2.286,70.7,524.71127532094,0,41,Motors_Started,
1500,2025-03-04 13:44:30,51.2586219035262,-0.0459373509867132,0,,,524.71127532094,0,0,0.0158191278028,0.112145016712,22,5,12.538,524.71127532094,0,0,0.03711942376,0,0,0,267, 4.5, -4.4,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-90,0,99,4.137,4.149,4.157,0,0,0,2.286,70.7,524.71127532094,0,11,AutoTakeoff,
1600,2025-03-04 13:44:30,51.2586219232598,-0.0459373602645491,0,,,524.71127532094,0,0,0.0185595806464,0.119650266296,22,5,12.538,524.71127532094,0,0,0.03711942376,0,0,0,267, 4.5, -4.3,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,2.286,70.7,524.71127532094,0,11,AutoTakeoff,
1700,2025-03-04 13:44:30,51.2586219157853,-0.0459373627765102,0,,,524.71127532094,0,0,0.0185531830084,0.122437011792,22,5,12.538,524.71127532094,0,0,0.03711942376,0,0,0,267, 4.4, -4.3,0,0,1024,1024,1024,1024,0,0,0,0,275.7,-89.9,0,99,4.137,4.149,4.157,0,0,0,2.286,70.7,524.71127532094,0,11,AutoTakeoff,
1800,2025-03-04 13:44:30,51.2586217783013,-0.0459373754150347,0,,,524.71127532094,0,0,0.05220472608,0.172680779804,22,5,12.538,524.71127532094,0,0,0.05220472608,0,0,0,267.2, 4.2, -4.2,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-90,0,99,4.137,4.149,4.157,0,0,0,2.286,70.7,524.71127532094,0,11,AutoTakeoff,
1900,2025-03-04 13:44:30,51.2586217463557,-0.0459373566095136,0,,,524.71127532094,0,0,0.061711288064,0.18510171196,22,5,12.406,524.71127532094,0,0,0.061711288064,0,0,0,267, 2.9, -4,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-89.9,0,99,4.187,4.205,4.217,0,0,0,3.913,70.7,524.71127532094,0,11,AutoTakeoff,
2000,2025-03-04 13:44:30,51.2586217457175,-0.0459373263068142,0,,,524.71127532094,0,0,0.060406169912,0.192024612444,22,5,12.406,524.71127532094,0,0,0.061711288064,0,0,0,266.7, -0.7, -3.4,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-89.9,0,99,4.187,4.205,4.217,0,0,0,3.913,70.7,524.71127532094,0,11,AutoTakeoff,
2100,2025-03-04 13:44:30,51.2586216700471,-0.0459373177784845,0,,,524.71127532094,0,0.223694,0.08754757498,0.2197014506,22,5,12.406,524.71127532094,0,0.223694,0.08754757498,-0.223694,0,-0.223694,266.8, -3.5, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-89.9,0,99,4.187,4.205,4.217,0,0,0,3.913,70.7,524.71127532094,0,11,AutoTakeoff,
2200,2025-03-04 13:44:30,51.2586216211779,-0.0459373632522788,0,,,524.71127532094,0,0.223694,0.106617129396,0.240334325276,22,5,12.406,524.71127532094,0,0.223694,0.106617129396,-0.223694,0,-0.447388,267, -1.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-90,0,99,4.187,4.205,4.217,0,0,0,3.913,70.7,524.71127532094,0,11,AutoTakeoff,
2300,2025-03-04 13:44:30,51.2586215311496,-0.0459374456183661,0,,,524.71127532094,0,0.223694,0.14280512268,0.278183735936,22,5,12.406,524.71127532094,0,0.223694,0.14280512268,-0.223694,0,-0.671082,266.8, -0.6, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-90,0,99,4.187,4.205,4.217,0,0,0,3.913,70.7,524.71127532094,0,11,AutoTakeoff,
2400,2025-03-04 13:44:30,51.2586214451991,-0.0459375676625112,0.328084,,,525.03935932094,0,0,0.181321856196,0.32013452468,22,5,12.406,525.03935932094,0.328084,0.223694,0.181321856196,0,0,-0.894776,266.6, 0.6, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-90,0,99,4.187,4.205,4.217,0,0,0,3.913,70.7,525.03935932094,0.328084,11,AutoTakeoff,
2500,2025-03-04 13:44:31,51.2586214148213,-0.0459376476876993,0.328084,,,525.03935932094,0,0,0.19866142368,0.34150591644,22,5,12.406,525.03935932094,0.328084,0.223694,0.19866142368,0,0,-0.894776,266.5, 1, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-90,0,99,4.187,4.205,4.217,0,0,0,3.913,70.7,525.03935932094,0.328084,11,AutoTakeoff,
2600,2025-03-04 13:44:31,51.2586215326703,-0.0459374299681541,0.328084,,,525.03935932094,0.656168,0,0.141375004524,0.40723098416,22,5,12.406,525.03935932094,0.328084,0.223694,0.19866142368,0,0,-0.894776,266.5, 0.5, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-89.9,0,99,4.187,4.205,4.217,0,0,0,3.913,70.7,525.03935932094,0.328084,11,AutoTakeoff,
2700,2025-03-04 13:44:31,51.2586215815823,-0.0459374187891929,0.656168,,,525.36744332094,0.984252,0,0.123448494764,0.42525919996,22,5,12.406,525.36744332094,0.656168,0.223694,0.19866142368,0,0,-0.894776,266.4, 0, -0.3,0,0,1024,1024,1242,1024,0,0,33,0,275.8,-90,0,99,4.187,4.205,4.217,0,0,0,3.913,70.7,525.36744332094,0.656168,11,AutoTakeoff,
2800,2025-03-04 13:44:31,51.2586213730155,-0.0459371847247823,0.656168,,,525.36744332094,0.984252,0,0.196806764828,0.51824476724,22,5,12.406,525.36744332094,0.656168,0.223694,0.19866142368,0,0,-0.894776,266.5, -0.6, -1,0,0,1024,1024,1287,1024,0,0,40,0,275.8,-89.9,0,99,4.187,4.205,4.217,0,0,0,3.913,70.7,525.36744332094,0.656168,11,AutoTakeoff,
2900,2025-03-04 13:44:31,51.25862143847,-0.0459371190663445,0.984252,,,525.69552732094,1.312336,0,0.175658798272,0.54644358704,22,5,12.133,525.69552732094,0.984252,0.223694,0.19866142368,0,0,-1.342164,266.6, -1, -1.1,0,0,1024,1024,1288,1024,0,0,40,0,275.8,-89.9,0,99,4.024,4.04,4.052,0,0,0,4.991,70.7,525.69552732094,0.984252,11,AutoTakeoff,
3000,2025-03-04 13:44:31,51.2586214052566,-0.0459373055865162,1.312336,,,526.02361132094,1.64042,0,0.183856961264,0.59071852284,22,5,12.133,526.02361132094,1.312336,0.223694,0.19866142368,0,0,-1.789552,266.6, -0.8, -1.3,0,0,1024,1024,1362,1024,0,0,51,0,275.8,-89.9,0,99,4.024,4.04,4.052,0,0,0,4.991,70.7,526.02361132094,1.312336,11,AutoTakeoff,
3100,2025-03-04 13:44:31,51.2586214724287,-0.0459372469010215,1.64042,,,526.35169532094,1.968504,0,0.159476383056,0.6186515946,22,5,12.133,526.35169532094,1.64042,0.223694,0.19866142368,0,0,-2.23694,266.6, -1, -1.5,0,0,1024,718,1024,1024,0,-46,0,0,275.8,-89.9,0,99,4.024,4.04,4.052,0,0,0,4.991,70.7,526.35169532094,1.64042,11,AutoTakeoff,
3200,2025-03-04 13:44:31,51.2586215711138,-0.0459374094993526,1.968504,,,526.67977932094,2.296588,0,0.126644361008,0.67036747552,22,5,12.133,526.67977932094,1.968504,0.223694,0.19866142368,0,0,-3.131716,266.6, -0.6, -1.8,0,0,1024,718,1024,1024,0,-46,0,0,275.8,-90,0,99,4.024,4.04,4.052,0,0,0,4.991,70.7,526.67977932094,1.968504,11,AutoTakeoff,
3300,2025-03-04 13:44:31,51.2586216309527,-0.0459373414863779,2.296588,,,527.00786332094,2.624672,0,0.102332352356,0.69715881496,22,5,12.133,527.00786332094,2.296588,0.223694,0.19866142368,0,0,-3.131716,266.7, -0.6, -5,0,0,1044,443,1024,1024,3,-88,0,0,275.8,-90,0,99,4.024,4.04,4.052,0,0,0,4.991,70.7,527.00786332094,2.296588,11,AutoTakeoff,
3400,2025-03-04 13:44:31,51.2586216122042,-0.0459368926250869,2.952756,,,527.66403132094,3.28084,0,0.140134190836,0.79987535368,22,5,12.133,527.66403132094,2.952756,0.223694,0.19866142368,0,0,-2.908022,266.7, -0.9, -17.3,0,0,1024,982,1024,1024,0,-6,0,0,275.8,-90,0,99,4.024,4.04,4.052,0,0,0,4.991,70.7,527.66403132094,2.952756,11,AutoTakeoff,
3500,2025-03-04 13:44:32,51.2586214708436,-0.0459367526566445,3.28084,,,527.99211532094,3.608924,0.447388,0.200433733448,0.8605479278,22,5,12.133,527.99211532094,3.28084,0.447388,0.200433733448,-0.447388,0,-2.23694,266.6, -1.1, -19.4,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-90,0,99,4.024,4.04,4.052,0,0,0,4.991,70.7,527.99211532094,3.28084,11,AutoTakeoff,
3600,2025-03-04 13:44:32,51.2586213763304,-0.0459366780095609,3.608924,,,528.32019932094,3.608924,0.894776,0.238326123112,0.89901249596,22,5,12.133,528.32019932094,3.608924,0.894776,0.238326123112,-0.894776,0,-1.789552,266.7, -1.2, -5.9,0,0,1131,1024,1024,1024,16,0,0,0,275.8,-90,0,99,4.024,4.04,4.052,0,0,0,4.991,70.7,528.32019932094,3.608924,6,P-GPS,
3700,2025-03-04 13:44:32,51.2586209549518,-0.0459365124509559,3.608924,,,528.32019932094,3.937008,0.894776,0.38993439568,1.057332711,22,5,12.133,528.32019932094,3.608924,0.894776,0.38993439568,-0.894776,0,-1.11847,265.8, -1, -0.1,0,0,1188,1024,1024,1024,25,0,0,0,275.8,-90,0,99,4.024,4.04,4.052,0,0,0,4.991,70.7,528.32019932094,3.608924,6,P-GPS,
3800,2025-03-04 13:44:32,51.258620511685,-0.0459362232328726,3.937008,,,528.64828332094,3.937008,0.894776,0.56423558236,1.2320210368,22,5,12.133,528.64828332094,3.937008,0.894776,0.56423558236,-0.894776,0,-0.671082,265.9, -2.2, 0,0,0,1184,1024,1025,1024,24,0,0,0,275.8,-89.9,0,99,4.024,4.04,4.052,0,0,0,4.991,70.7,528.64828332094,3.937008,6,P-GPS,
3900,2025-03-04 13:44:32,51.2586201255031,-0.045936058656479,3.937008,,,528.64828332094,4.265092,0.894776,0.7081365056,1.37784453228,22,5,11.922,528.64828332094,3.937008,0.894776,0.7081365056,-0.894776,0,-0.223694,266.3, -3.6, 0,0,0,1024,1024,1232,1024,0,0,32,0,275.8,-90,0,99,4.023,4.045,4.056,0,0,0,7.965,70.88,528.64828332094,3.937008,6,P-GPS,
4000,2025-03-04 13:44:32,51.2586203189111,-0.0459359782497319,3.937008,,,528.64828332094,4.265092,0.671082,0.65207351168,1.45075792044,22,5,11.922,528.64828332094,3.937008,0.894776,0.7081365056,-0.671082,0,0,266.4, -3, -0.3,0,0,1024,1024,1230,1024,0,0,31,0,275.8,-90,0,99,4.023,4.045,4.056,0,0,0,7.965,70.88,528.64828332094,3.937008,6,P-GPS,
4100,2025-03-04 13:44:32,51.2586200348066,-0.0459359087532403,3.937008,,,528.64828332094,4.265092,0.671082,0.75227036528,1.55562012852,22,5,11.922,528.64828332094,3.937008,0.894776,0.75227036528,-0.671082,0,-0.223694,266.6, -1.6, 0.9,0,0,1024,1024,1230,1024,0,0,31,0,275.8,-90,0,99,4.023,4.045,4.056,0,0,0,7.965,70.88,528.64828332094,3.937008,6,P-GPS,
4200,2025-03-04 13:44:32,51.2586196837314,-0.0459359172935798,4.265092,,,528.97636732094,4.593176,0.447388,0.86963913544,1.68372380716,22,5,11.922,528.97636732094,4.265092,0.894776,0.86963913544,-0.447388,0,-0.671082,266.8, -1, 1.3,0,0,1024,1024,1291,1024,0,0,40,0,275.8,-89.9,0,99,4.023,4.045,4.056,0,0,0,7.965,70.88,528.97636732094,4.265092,6,P-GPS,
4300,2025-03-04 13:44:32,51.258619488503,-0.0459358645029738,4.593176,,,529.30445132094,4.593176,0.223694,0.94056433456,1.75596790396,22,5,11.922,529.30445132094,4.593176,0.894776,0.94056433456,-0.223694,0,-1.11847,267.1, -1, 1.1,0,0,1024,1024,1165,1024,0,0,21,0,275.8,-89.9,0,99,4.023,4.045,4.056,0,0,0,7.965,70.88,529.30445132094,4.593176,6,P-GPS,
4400,2025-03-04 13:44:32,51.2586192644646,-0.0459358611302932,4.92126,,,529.63253532094,4.92126,0.223694,1.0179462268,1.83771003256,22,5,11.922,529.63253532094,4.92126,0.894776,1.0179462268,-0.223694,0,-1.565858,267.3, -1.2, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,275.8,-90,0,99,4.023,4.045,4.056,0,0,0,7.965,70.88,529.63253532094,4.92126,6,P-GPS,
4500,2025-03-04 13:44:33,51.2586191534477,-0.045935806092949,5.249344,,,529.96061932094,5.249344,0,1.06034452212,1.8801181704,22,5,11.922,529.96061932094,5.249344,0.894776,1.06034452212,0,0,-1.342164,267.3, -0.9, 0.4,0,0,1146,1024,1024,1024,18,0,0,0,275.8,-90,0,99,4.023,4.045,4.056,0,0,0,7.965,70.88,529.96061932094,5.249344,6,P-GPS,
4600,2025-03-04 13:44:33,51.2586189368752,-0.0459354331535703,5.249344,,,529.96061932094,5.249344,0,1.16365817372,1.99628615312,22,5,11.922,529.96061932094,5.249344,0.894776,1.16365817372,0,0,-0.894776,267.2, -0.9, 0.3,0,0,1283,1024,1024,1024,39,0,0,0,275.8,-90,0,99,4.023,4.045,4.056,0,0,0,7.965,70.88,529.96061932094,5.249344,6,P-GPS,
4700,2025-03-04 13:44:33,51.2586188617059,-0.0459353250227617,5.249344,,,529.96061932094,5.249344,0,1.198244789,2.0331857606,22,5,11.922,529.96061932094,5.249344,0.894776,1.198244789,0,0,-0.447388,267.1, -2.8, 0,0,0,1352,1024,1024,1024,50,0,0,0,275.8,-90,0,99,4.023,4.045,4.056,0,0,0,7.965,70.88,529.96061932094,5.249344,6,P-GPS,
